dataset,data_type,n_samples,n_features,full_ensemble_mse,full_ensemble_mae,normal model mse ,meta_mse,meta_mae,meta_prune_loss_final,meta_div_loss_final,created
3droad,regression,347899,3,175.3001,10.1962,69.9067,79.1268,6.3053,1.5788,0.0255,2025-11-01 13:04:50
bike,regression,13903,17,0.0734,0.1921,0.0109,0.0210,0.1002,0.7468,0.0203,2025-11-01 13:04:53
,,,,houseelectric,regression,1639424,11,0.0459,0.1577,0.0027,0.0056,0.0537,0.4162,0.0233,2025-11-01 13:08:17
gas,regression,2052,128,0.0439,0.1016,0.1156,0.2963,0.1796,0.3301,0.0201,2025-11-01 13:08:18
3droad,regression,347899,3,175.0182,10.2137,73.7079,84.7395,6.5332,1.5504,0.2993,2025-11-01 13:10:48
bike,regression,13903,17,0.0811,0.2054,0.0119,0.0221,0.1026,0.7002,0.7568,2025-11-01 13:10:51
houseelectric,regression,1639424,11,0.0613,0.1836,0.0032,0.0067,0.0593,0.5758,0.7611,2025-11-01 13:14:16
3droad,regression,347899,3,172.2860,10.0955,73.6727,83.5963,6.4472,1.5849,1.5849,2025-11-01 13:15:59
3droad,regression,347899,3,178.8178,10.2937,71.2465,80.1615,6.3495,1.5616,0.3052,2025-11-01 13:17:54
3droad,regression,347899,3,145.8012,9.1674,64.0340,74.5012,6.0919,0.9800,0.3736,2025-11-01 13:20:19
3droad,regression,347899,3,170.0849,10.0361,71.0815,72.3898,6.0232,0.9800,0.1373,2025-11-01 13:25:15
3droad,regression,347899,3,178.7816,10.2842,71.4010,83.6543,6.4606,0.9800,0.3593,2025-11-01 13:26:41
3droad,regression,347899,3,163.8159,9.7942,67.3011,61.7245,5.5040,0.9800,0.1933,2025-11-01 13:31:47
3droad,regression,347899,3,190.5217,10.6321,79.4907,73.4131,6.0349,0.9800,2.2749,2025-11-01 13:32:44
3droad,regression,347899,3,160.8916,9.6998,68.7286,63.2683,5.5632,0.9634,2.3011,2025-11-01 13:34:14
3droad,regression,347899,3,191.1791,10.7005,74.6624,69.1389,5.8095,2.1068,2.1068,2025-11-01 13:35:05
3droad,regression,347899,3,190.3710,10.6426,77.4622,71.9353,5.9443,2.3809,0.1572,2025-11-01 13:36:19
3droad,regression,347899,3,160.9780,9.6864,70.6445,63.7059,5.5709,2.6107,0.3225,2025-11-01 13:37:40
3droad,regression,347899,3,185.1505,10.5222,71.1153,66.3331,5.7393,2.1936,0.3233,2025-11-01 13:38:34
3droad,regression,347899,3,178.7668,10.2654,56.6375,66.4287,5.6972,2.5705,0.5488,2025-11-01 13:42:44
3droad,regression,347899,3,190.6785,10.7024,57.5450,68.2938,5.8109,2.4333,0.1354,2025-11-01 13:44:08
3droad,regression,347899,3,173.6464,10.1169,56.4672,56.6021,5.2082,2.9916,0.0529,2025-11-01 13:46:03
3droad,regression,347899,3,166.1185,9.8913,53.2529,54.7123,5.1104,2.7884,0.0858,2025-11-01 13:49:56
3droad,regression,347899,3,173.3978,10.1178,54.7478,56.3875,5.1790,2.7675,0.5377,2025-11-01 13:51:45
3droad,regression,347899,3,161.0508,9.6756,69.9203,78.0746,6.2708,1.8318,0.4457,2025-11-01 13:52:50
