dataset  , task          , lambda_prune, lambda_div, prune_threshold, corr_threshold, full_metric        , full_r2            , full_f1           , full_auc          , pre_pruned_metric  , pre_r2             , pre_f1            , pre_auc           , final_pruned_metric, final_r2           , final_f1          , final_auc         , initial_main_loss , initial_prune_loss, initial_div_loss    , initial_total_loss, final_main_loss    , final_prune_loss   , final_div_loss      , final_total_loss   , full_size, shap_size, pruned_weighted_size, final_size
slice    , regression    ,          0.0,        0.0,            0.01,           0.95,  8.52585582895155  , 0.856474331433682  ,                   ,                   ,  6.762799381758637 , 0.9096960768597026 ,                   ,                   ,  6.762799381758637 , 0.9096960768597026 ,                   ,                   , 0.9143446087837219, 0.8990946412086487, 0.02755628526210785 , 0.9143446087837219, 0.16398930549621582, 0.9514845609664917 , 0.021312739700078964, 0.16398930549621582,       200,        60,                   60,         60
slice    , regression    ,          0.0,        0.5,            0.01,           0.95,  8.52585582895155  , 0.856474331433682  ,                   ,                   ,  6.762799381758637 , 0.9096960768597026 ,                   ,                   ,  6.762799381758637 , 0.9096960768597026 ,                   ,                   , 0.8584425449371338, 0.9228777289390564, 0.024817345663905144, 0.8708512187004089, 0.16446982324123383, 0.9627589583396912 , 0.019559597596526146, 0.17424961924552917,       200,        60,                   60,         60
slice    , regression    ,          0.7,        0.0,            0.01,           0.95,  8.52585582895155  , 0.856474331433682  ,                   ,                   ,  6.762799381758637 , 0.9096960768597026 ,                   ,                   ,  5.838649657404921 , 0.9326901778951227 ,                   ,                   , 0.4949907064437866, 0.9065772294998169, 0.027663156390190125, 1.1295948028564453, 0.25345924496650696, 0.5036352872848511 , 0.1937633603811264  , 0.6060039401054382 ,       200,        60,                   20,         20
slice    , regression    ,          0.7,        0.5,            0.01,           0.95,  8.52585582895155  , 0.856474331433682  ,                   ,                   ,  6.762799381758637 , 0.9096960768597026 ,                   ,                   ,  5.758875635925585 , 0.9345169333954113 ,                   ,                   , 1.4507781267166138, 0.9182595014572144, 0.02458934113383293 , 2.1058545112609863, 0.2105899304151535 , 0.709367036819458  , 0.06540466845035553 , 0.7398491501808167 ,       200,        60,                   41,         41
3droad   , regression    ,          0.0,        0.0,            0.01,           0.9 , 13.495977074023296 , 0.4643879564918514 ,                   ,                   , 11.847436145732212 , 0.5872468242629403 ,                   ,                   , 11.847436145732212 , 0.5872468242629403 ,                   ,                   , 1.0260156393051147, 0.9082266092300415, 0.022689417004585266, 1.0260156393051147, 0.5811775922775269 , 0.9254133701324463 , 0.021379349753260612, 0.5811775922775269 ,       200,        60,                   60,         60
3droad   , regression    ,          0.0,        0.3,            0.01,           0.9 , 13.495977074023296 , 0.4643879564918514 ,                   ,                   , 11.847436145732212 , 0.5872468242629403 ,                   ,                   , 11.847436145732212 , 0.5872468242629403 ,                   ,                   , 1.3835769891738892, 0.8754128813743591, 0.027273762971162796, 1.3917591571807861, 0.5816584825515747 , 0.9268317222595215 , 0.02097131311893463 , 0.5879498720169067 ,       200,        60,                   60,         60
3droad   , regression    ,          1.0,        0.0,            0.01,           0.9 , 13.495977074023296 , 0.4643879564918514 ,                   ,                   , 11.847436145732212 , 0.5872468242629403 ,                   ,                   , 11.461538550138346 , 0.6136975086290662 ,                   ,                   , 2.3734540939331055, 0.8903727531433105, 0.025788648054003716, 3.263826847076416 , 0.6685050129890442 , 0.5279544591903687 , 0.13747680187225342 , 1.1964595317840576 ,       200,        60,                   27,         27
3droad   , regression    ,          1.0,        0.3,            0.01,           0.9 , 13.495977074023296 , 0.4643879564918514 ,                   ,                   , 11.847436145732212 , 0.5872468242629403 ,                   ,                   , 10.860578756715654 , 0.6531452800641575 ,                   ,                   , 0.940791130065918 , 0.8778533339500427, 0.02682761661708355 , 1.826692819595337 , 0.661296546459198  , 0.4627787470817566 , 0.1822381317615509  , 1.1787467002868652 ,       200,        60,                   20,         20
kin40k   , regression    ,          0.0,        0.0,            0.01,           0.93,  0.8774748073048838, 0.2351007783945197 ,                   ,                   ,  0.8958081587904392, 0.2028043265090118 ,                   ,                   ,  0.8948203334440281, 0.2045615239494739 ,                   ,                   , 1.0686029195785522, 0.8374804854393005, 0.03110642358660698 , 1.0686029195785522, 0.6141102910041809 , 0.9105645418167114 , 0.019930103793740273, 0.6141102910041809 ,       200,        60,                   59,         59
kin40k   , regression    ,          0.0,        0.5,            0.01,           0.93,  0.8774748073048838, 0.2351007783945197 ,                   ,                   ,  0.8958081587904392, 0.2028043265090118 ,                   ,                   ,  0.8958081587904392, 0.2028043265090118 ,                   ,                   , 1.2407211065292358, 0.8424594402313232, 0.031418681144714355, 1.2564303874969482, 0.6141785979270935 , 0.9137716889381409 , 0.019455736503005028, 0.6239064931869507 ,       200,        60,                   60,         60
kin40k   , regression    ,          0.7,        0.0,            0.01,           0.93,  0.8774748073048838, 0.2351007783945197 ,                   ,                   ,  0.8958081587904392, 0.2028043265090118 ,                   ,                   ,  0.8475668588223252, 0.28635399413129836,                   ,                   , 1.7156250476837158, 0.7966903448104858, 0.03971655294299126 , 2.273308277130127 , 0.7395038604736328 , 0.5818315744400024 , 0.09588659554719925 , 1.1467859745025635 ,       200,        60,                   40,         40
