dataset,run_name,lambda_prune_ratio,lambda_div_ratio,initial_total_loss,initial_prune_loss,initial_div_loss,total_loss,prune_loss_,div_loss
3droad,Run 1 (Full Model),1.0000,1.0000,2167.1113,3.6165,0.0257,1375.4663,3.8923,0.0170
3droad,Run 1 (Full Model),1.0000,0.5000,461.2533,3.6435,0.0255,346.1286,3.8586,0.0181
3droad,Run 3 (Prune Only),1.0000,0.0000,1508.6942,3.6338,0.0259,475.6814,1.7042,0.2259
3droad,Run 1 (Full Model),0.5000,1.0000,3197.4082,3.6169,0.0275,1661.9814,3.8751,0.0176
3droad,Run 1 (Full Model),0.5000,0.5000,793.0055,3.5666,0.0296,439.3189,3.8421,0.0186
3droad,Run 3 (Prune Only),0.5000,0.0000,780.7014,3.6422,0.0258,263.0797,2.2383,0.1192
3droad,Run 4 (Div Only),0.0000,1.0000,587.6781,3.6568,0.0250,319.0846,3.8727,0.0176
3droad,Run 4 (Div Only),0.0000,0.5000,229.8887,3.6782,0.0239,158.6083,3.8369,0.0189
3droad,Run 2 (No Reg),0.0000,0.0000,159.4450,3.6728,0.0242,76.2162,3.8022,0.0205
slice,Run 1 (Full Model),1.0000,1.0000,1926.3533,3.8279,0.0233,1176.7408,3.9979,0.0171
slice,Run 1 (Full Model),1.0000,0.5000,7716.0210,3.7456,0.0260,4361.8696,4.0000,0.0170
slice,Run 3 (Prune Only),1.0000,0.0000,1632.9413,3.7325,0.0266,490.1070,2.0543,0.2271
slice,Run 1 (Full Model),0.5000,1.0000,1605.5558,3.7621,0.0261,827.1855,3.9859,0.0175
slice,Run 1 (Full Model),0.5000,0.5000,117.1288,3.7979,0.0240,68.8739,3.9317,0.0194
slice,Run 3 (Prune Only),0.5000,0.0000,490.7299,3.7497,0.0244,138.5301,2.7207,0.0757
slice,Run 4 (Div Only),0.0000,1.0000,211.6998,3.7765,0.0242,99.8157,3.9835,0.0177
slice,Run 4 (Div Only),0.0000,0.5000,258.8870,3.7292,0.0253,87.8975,3.9615,0.0183
slice,Run 2 (No Reg),0.0000,0.0000,167.5090,3.7899,0.0234,10.1065,3.8429,0.0225
kin40k,Run 1 (Full Model),1.0000,1.0000,2.6939,3.4770,0.0298,1.8569,3.7807,0.0181
kin40k,Run 1 (Full Model),1.0000,0.5000,4.3341,3.3954,0.0332,2.6992,3.6749,0.0202
kin40k,Run 3 (Prune Only),1.0000,0.0000,1.5451,3.4687,0.0312,0.8088,1.7718,0.1854
kin40k,Run 1 (Full Model),0.5000,1.0000,1.6385,3.3500,0.0397,1.0088,3.7226,0.0196
kin40k,Run 1 (Full Model),0.5000,0.5000,1.4546,3.4415,0.0306,0.8801,3.7811,0.0179
