dataset,run_name,lambda_prune_ratio,lambda_div_ratio,mse_stage1_baseline,mse_final,trees_initial,trees_after_weight_prune,trees_final,prune_threshold,corr_threshold
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0050,0.9000
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0050,0.9500
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0050,0.9900
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0010,0.9000
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0010,0.9500
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0010,0.9900
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0100,0.9000
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0100,0.9500
3droad,Run 2 (No Reg),0.0000,0.0000,130.7323,130.7323,40,40,40,0.0100,0.9900
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0050,0.9000
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0050,0.9500
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0050,0.9900
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0010,0.9000
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0010,0.9500
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0010,0.9900
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0100,0.9000
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0100,0.9500
3droad,Run 4 (Div Only),0.0000,0.5000,130.7323,130.7323,40,40,40,0.0100,0.9900
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0050,0.9000
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0050,0.9500
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0050,0.9900
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0010,0.9000
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0010,0.9500
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0010,0.9900
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0100,0.9000
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0100,0.9500
3droad,Run 4 (Div Only),0.0000,1.0000,130.7323,130.7323,40,40,40,0.0100,0.9900
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,123.9384,40,25,25,0.0050,0.9000
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,123.9384,40,25,25,0.0050,0.9500
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,123.9384,40,25,25,0.0050,0.9900
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,130.1677,40,37,37,0.0010,0.9000
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,130.1677,40,37,37,0.0010,0.9500
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,130.1677,40,37,37,0.0010,0.9900
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,118.5131,40,17,17,0.0100,0.9000
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,118.5131,40,17,17,0.0100,0.9500
3droad,Run 3 (Prune Only),0.5000,0.0000,130.7323,118.5131,40,17,17,0.0100,0.9900
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,125.3426,40,29,29,0.0050,0.9000
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,125.3426,40,29,29,0.0050,0.9500
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,125.3426,40,29,29,0.0050,0.9900
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,130.5163,40,38,38,0.0010,0.9000
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,130.5163,40,38,38,0.0010,0.9500
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,130.5163,40,38,38,0.0010,0.9900
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,122.7272,40,19,19,0.0100,0.9000
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,122.7272,40,19,19,0.0100,0.9500
3droad,Run 1 (Full Model),0.5000,0.5000,130.7323,122.7272,40,19,19,0.0100,0.9900
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,128.8372,40,24,24,0.0050,0.9000
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,128.8372,40,24,24,0.0050,0.9500
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,128.8372,40,24,24,0.0050,0.9900
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,130.8861,40,39,39,0.0010,0.9000
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,130.8861,40,39,39,0.0010,0.9500
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,130.8861,40,39,39,0.0010,0.9900
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,119.2059,40,15,15,0.0100,0.9000
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,119.2059,40,15,15,0.0100,0.9500
3droad,Run 1 (Full Model),0.5000,1.0000,130.7323,119.2059,40,15,15,0.0100,0.9900
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,123.4289,40,15,15,0.0050,0.9000
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,123.4289,40,15,15,0.0050,0.9500
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,123.4289,40,15,15,0.0050,0.9900
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,128.2665,40,33,33,0.0010,0.9000
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,128.2665,40,33,33,0.0010,0.9500
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,128.2665,40,33,33,0.0010,0.9900
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,117.3236,40,7,7,0.0100,0.9000
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,117.3236,40,7,7,0.0100,0.9500
3droad,Run 3 (Prune Only),1.0000,0.0000,130.7323,117.3236,40,7,7,0.0100,0.9900
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,117.9400,40,19,19,0.0050,0.9000
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,117.9400,40,19,19,0.0050,0.9500
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,117.9400,40,19,19,0.0050,0.9900
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,131.0615,40,36,36,0.0010,0.9000
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,131.0615,40,36,36,0.0010,0.9500
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,131.0615,40,36,36,0.0010,0.9900
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,114.8807,40,9,9,0.0100,0.9000
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,114.8807,40,9,9,0.0100,0.9500
3droad,Run 1 (Full Model),1.0000,0.5000,130.7323,114.8807,40,9,9,0.0100,0.9900
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,120.0870,40,21,21,0.0050,0.9000
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,120.0870,40,21,21,0.0050,0.9500
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,120.0870,40,21,21,0.0050,0.9900
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,131.4005,40,38,38,0.0010,0.9000
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,131.4005,40,38,38,0.0010,0.9500
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,131.4005,40,38,38,0.0010,0.9900
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,122.9193,40,10,10,0.0100,0.9000
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,122.9193,40,10,10,0.0100,0.9500
3droad,Run 1 (Full Model),1.0000,1.0000,130.7323,122.9193,40,10,10,0.0100,0.9900
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,91.5654,60,60,9,0.0050,0.9000
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,37.0285,60,60,56,0.0050,0.9500
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,39.3982,60,60,58,0.0050,0.9700
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,91.5654,60,60,9,0.0010,0.9000
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,37.0285,60,60,56,0.0010,0.9500
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,39.3982,60,60,58,0.0010,0.9700
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,91.5654,60,60,9,0.0100,0.9000
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,37.0285,60,60,56,0.0100,0.9500
slice,Run 2 (No Reg),0.0000,0.0000,40.7072,39.3982,60,60,58,0.0100,0.9700
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,91.5654,60,60,9,0.0050,0.9000
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,37.0285,60,60,56,0.0050,0.9500
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,39.3982,60,60,58,0.0050,0.9700
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,91.5654,60,60,9,0.0010,0.9000
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,37.0285,60,60,56,0.0010,0.9500
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,39.3982,60,60,58,0.0010,0.9700
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,91.5654,60,60,9,0.0100,0.9000
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,37.0285,60,60,56,0.0100,0.9500
slice,Run 4 (Div Only),0.0000,0.5000,40.7072,39.3982,60,60,58,0.0100,0.9700
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,91.5654,60,60,9,0.0050,0.9000
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,37.0285,60,60,56,0.0050,0.9500
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,39.3982,60,60,58,0.0050,0.9700
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,91.5654,60,60,9,0.0010,0.9000
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,37.0285,60,60,56,0.0010,0.9500
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,39.3982,60,60,58,0.0010,0.9700
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,91.5654,60,57,9,0.0100,0.9000
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,35.2806,60,57,53,0.0100,0.9500
slice,Run 4 (Div Only),0.0000,1.0000,40.7072,36.6377,60,57,55,0.0100,0.9700
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,98.1095,60,38,4,0.0050,0.9000
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,32.5977,60,38,34,0.0050,0.9500
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,34.3169,60,38,36,0.0050,0.9700
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,91.5648,60,54,8,0.0010,0.9000
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,36.4652,60,54,50,0.0010,0.9500
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,39.0105,60,54,52,0.0010,0.9700
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,87.9201,60,26,2,0.0100,0.9000
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,33.9260,60,26,22,0.0100,0.9500
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,34.1376,60,26,24,0.0100,0.9700
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,93.9087,60,37,7,0.0050,0.9000
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,36.6229,60,37,33,0.0050,0.9500
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,42.0911,60,37,35,0.0050,0.9700
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,93.9087,60,52,7,0.0010,0.9000
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,36.9912,60,52,48,0.0010,0.9500
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,39.4796,60,52,50,0.0010,0.9700
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,95.9006,60,26,5,0.0100,0.9000
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,33.1983,60,26,24,0.0100,0.9500
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,33.1983,60,26,24,0.0100,0.9700
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,104.0825,60,38,6,0.0050,0.9000
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,31.3067,60,38,36,0.0050,0.9500
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,31.3067,60,38,36,0.0050,0.9700
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,91.5654,60,58,9,0.0010,0.9000
