dataset,mse_full,trees_full,mse_A,trees_A_input,trees_A_stage1_weight,trees_A_stage2_final,mse_B,trees_B_stage1_shap,trees_B_stage2_weight,trees_B_stage3_final,mse_B_stage1_only,mse_C,trees_C_stage1_corr,trees_C_stage2_final,mse_D,trees_D,corr_thresh,prune_thresh,lambda_prune,lambda_div,acc_A_weighted,f1_A_weighted,auc_A_weighted,acc_A_normal,f1_A_normal,auc_A_normal,acc_B_weighted,f1_B_weighted,auc_B_weighted,acc_B_normal,f1_B_normal,auc_B_normal,acc_C_weighted,f1_C_weighted,auc_C_weighted,acc_C_normal,f1_C_normal,auc_C_normal,acc_D,f1_D,auc_D
3droad,,200,114.4944626957139,60.0,7.0,7.0,149.0409846592565,60.0,60.0,57.0,157.75254658116268,131.27344010810702,183.0,55.0,110.32676299569825,200.0,0.9,0.01,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
slice,,200,30.32287704961312,60.0,18.0,16.0,35.784005623493016,60.0,60.0,58.0,37.727595644205465,34.36377379623852,188.0,57.0,92.64110332026412,200.0,0.95,0.01,1.0,0.5,,,,,,,,,,,,,,,,,,,,,
kin40k,,200,0.6851615744810841,60.0,22.0,22.0,0.7866954786815561,60.0,60.0,60.0,0.7866954786815561,0.7866955575719253,200.0,60.0,0.7689849382861962,200.0,0.9,0.01,1.0,0.5,,,,,,,,,,,,,,,,,,,,,
3droad,,200,111.28772641830926,60.0,26.0,26.0,116.66355166966342,60.0,60.0,60.0,116.66355166966342,115.5675850724129,126.0,38.0,90.03940958401506,200.0,0.9,0.01,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
3droad,,200,111.28772641830926,60.0,26.0,26.0,116.66355166966342,60.0,60.0,60.0,116.66355166966342,115.5675850724129,126.0,38.0,90.03940958401506,200.0,0.9,0.01,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
slice,,200,36.862881703101095,60.0,7.0,7.0,58.4451039297516,60.0,60.0,49.0,106.9728659018553,40.53037609540542,157.0,47.0,231.7566387862329,200.0,0.95,0.01,1.0,0.5,,,,,,,,,,,,,,,,,,,,,
3droad,,200,111.28772641830926,60.0,26.0,26.0,116.66355166966342,60.0,60.0,60.0,116.66355166966342,115.5675850724129,126.0,38.0,90.03940958401506,200.0,0.9,0.01,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
slice,,200,36.862881703101095,60.0,7.0,7.0,58.4451039297516,60.0,60.0,49.0,106.9728659018553,40.53037609540542,157.0,47.0,231.7566387862329,200.0,0.95,0.01,1.0,0.5,,,,,,,,,,,,,,,,,,,,,
kin40k,,200,0.6426737131481235,60.0,14.0,14.0,0.8854235078288857,60.0,60.0,59.0,0.8936007325914945,0.8863425772253062,194.0,58.0,0.973525581449584,200.0,0.9,0.01,1.0,0.5,,,,,,,,,,,,,,,,,,,,,
3droad,194.16451011884263,200,124.2744652825494,60.0,22.0,22.0,160.2799811780645,60.0,59.0,56.0,172.51640158580466,141.39084438929834,142.0,43.0,311.1946834575718,200.0,0.9,0.01,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
