dataset,method,mean_acc,std_acc
eeg,SHAP/Linear,0.8786381842456608,0.005462556086910221
eeg,L1/Linear,0.8875834445927904,0.00783746868968713
eeg,L1,0.8986648865153537,0.003198704552926858
eeg,corr -> SHAP,0.8851802403204273,0.005711415123152873
eeg,SHAP -> corr,0.8708945260347128,0.007159993419381541
eeg,RE,0.888384512683578,0.0030562144572122123
eeg,DREP,0.8596795727636849,0.01387105165957039
eeg,RF,0.8341789052069426,0.003313664524964187
elec,SHAP/Linear,0.8656222418358341,0.004260377188401459
elec,L1/Linear,0.8709620476610768,0.0053603726671666956
elec,L1,0.8728596646072374,0.002997635957235943
elec,corr -> SHAP,0.8692850838481906,0.0031963493313736757
elec,SHAP -> corr,0.8678729037952339,0.006077221530486156
elec,RE,0.8650485436893204,0.0052728250772264085
elec,DREP,0.8634157105030891,0.003947163243600667
elec,RF,0.8049426301853486,0.000837319768800114
magic,SHAP/Linear,0.8528916929547844,0.006251046876004989
magic,L1/Linear,0.853627760252366,0.003199815784374941
magic,L1,0.8616193480546792,0.0040096058811646025
magic,corr -> SHAP,0.8450052576235543,0.004718991729193897
magic,SHAP -> corr,0.8397476340694008,0.00788573428359736
magic,RE,0.8609884332281809,0.003094414084029878
magic,DREP,0.8520504731861198,0.00933787098813598
magic,RF,0.858149316508938,0.001019491032053901
adult,SHAP/Linear,0.8571077678845563,0.0034222596974130357
adult,L1/Linear,0.8580902671169788,0.004568060156806234
adult,L1,0.8557568314399754,0.0037220466590584603
adult,corr -> SHAP,0.8493705864292295,0.0029101616484059566
adult,SHAP -> corr,0.8507215228738103,0.007611397203486005
adult,RE,0.8581516733190053,0.00027461688394224887
adult,DREP,0.8595026097635861,0.0032178256080009774
adult,RF,0.8566779244703715,0.001509144086882961
bincovtype,SHAP/Linear,0.8790790669494093,0.006444797512993243
bincovtype,L1/Linear,0.8850328183378773,0.0021117071243908084
bincovtype,L1,0.8790063617085732,0.008633911513232184
bincovtype,corr -> SHAP,0.8920731091588407,0.0027895502665319363
bincovtype,SHAP -> corr,0.8923316166818136,0.0018582598885504948
bincovtype,RE,0.8633303039482986,0.002461495011551623
bincovtype,DREP,0.8354922750681613,0.00323252023428331
bincovtype,RF,0.7901524790467536,0.0006857809287620897
bank,SHAP/Linear,0.8972578505086245,0.0019759670856867276
bank,L1/Linear,0.8969924812030076,0.0016153898600397747
bank,L1,0.8992923485183548,0.001930904905169663
bank,corr -> SHAP,0.8934984520123838,0.002949063790919006
bank,SHAP -> corr,0.894029190623618,0.0015154216452022658
bank,RE,0.8942503317116322,0.002325243596301601
bank,DREP,0.900265369305617,0.002036420067796777
bank,RF,0.8862892525431226,0.0002578926092368497
