dataset,method,mean_size
eeg,SHAP/Linear,32.2
eeg,L1/Linear,30.2
eeg,L1,61.6
eeg,corr -> SHAP,48.8
eeg,SHAP -> corr,48.4
eeg,RE,32.2
eeg,DREP,32.2
eeg,RF,200.0
elec,SHAP/Linear,23.2
elec,L1/Linear,15.0
elec,L1,39.0
elec,corr -> SHAP,44.8
elec,SHAP -> corr,39.4
elec,RE,23.2
elec,DREP,23.2
elec,RF,200.0
magic,SHAP/Linear,19.8
magic,L1/Linear,24.2
magic,L1,48.8
magic,corr -> SHAP,46.4
magic,SHAP -> corr,43.0
magic,RE,19.8
magic,DREP,19.8
magic,RF,200.0
adult,SHAP/Linear,24.2
adult,L1/Linear,25.4
adult,L1,68.8
adult,corr -> SHAP,47.8
adult,SHAP -> corr,47.6
adult,RE,24.2
adult,DREP,24.2
adult,RF,200.0
bincovtype,SHAP/Linear,19.8
bincovtype,L1/Linear,24.6
bincovtype,L1,48.2
bincovtype,corr -> SHAP,42.2
bincovtype,SHAP -> corr,40.2
bincovtype,RE,19.8
bincovtype,DREP,19.8
bincovtype,RF,200.0
bank,SHAP/Linear,30.4
bank,L1/Linear,28.0
bank,L1,41.2
bank,corr -> SHAP,48.2
bank,SHAP -> corr,47.8
bank,RE,30.4
bank,DREP,30.4
bank,RF,200.0
