dataset,method,mean_acc,std_acc
eeg,SHAP/Linear,0.8753004005340455,0.009841878501459058
eeg,L1/Linear,0.89652870493992,0.005423256611906502
eeg,L1,0.8909212283044059,0.007488546682178969
eeg,corr -> SHAP,0.8763684913217624,0.006138618922602203
eeg,SHAP -> corr,0.886648865153538,0.012455972005009976
eeg,RE,0.869559412550067,0.009960698239569816
eeg,DREP,0.8170894526034713,0.020867956165489383
eeg,RF,0.8360480640854473,0.0011639249515462552
elec,SHAP/Linear,0.8675639894086495,0.003359149555866758
elec,L1/Linear,0.8747572815533982,0.003881488689725681
elec,L1,0.8709179170344219,0.003446712125289805
elec,corr -> SHAP,0.8704324801412181,0.004669095379945828
elec,SHAP -> corr,0.8754192409532215,0.003978125715705895
elec,RE,0.865666372462489,0.004050412676287275
elec,DREP,0.8498234774933804,0.007160321669654511
elec,RF,0.8067078552515448,0.0012403768157595123
magic,SHAP/Linear,0.8577287066246058,0.005784341762134626
magic,L1/Linear,0.8614090431125131,0.004134511724781818
magic,L1,0.86130389064143,0.006416885931605604
magic,corr -> SHAP,0.8475289169295479,0.004058939866586515
magic,SHAP -> corr,0.847739221871714,0.006538082673694983
magic,RE,0.8528916929547844,0.005896044487434776
magic,DREP,0.8465825446898002,0.012633184347272066
magic,RF,0.8586750788643533,0.0016085235058652218
adult,SHAP/Linear,0.8579674547129261,0.004703089748570225
adult,L1/Linear,0.8601166717838502,0.0025511302521143225
adult,L1,0.8543444887933681,0.004048154675799706
adult,corr -> SHAP,0.8469143383481732,0.0027639612981091716
adult,SHAP -> corr,0.8545287073994473,0.004641756509417067
adult,RE,0.8566165182683451,0.0009709173043194307
adult,DREP,0.8578446423088731,0.005786536807805847
adult,RF,0.8550199570156586,0.0009190438776233189
bincovtype,SHAP/Linear,0.8567908714530951,0.00996421591673988
bincovtype,L1/Linear,0.881954963142482,0.006427641517370473
bincovtype,L1,0.8809572856710087,0.004767081291641909
bincovtype,corr -> SHAP,0.8908492376047663,0.0008719952670243904
bincovtype,SHAP -> corr,0.8903806927193779,0.001204353177933049
bincovtype,RE,0.8572311420781581,0.003502609626765829
bincovtype,DREP,0.8329516308189436,0.0028132707796273385
bincovtype,RF,0.7887266484903565,0.0026380948308587066
bank,SHAP/Linear,0.8969040247678018,0.0020621925213400575
bank,L1/Linear,0.8968155683325962,0.001733385045755435
bank,L1,0.897921273772667,0.0019460415745245552
bank,corr -> SHAP,0.8940734188412207,0.0016007926643833695
bank,SHAP -> corr,0.8933657673595754,0.0010027230472140387
bank,RE,0.8954444935869084,0.0029015868141276917
bank,DREP,0.8982308712958869,0.0024119589923814445
bank,RF,0.8865546218487396,0.00031274072586755887
