dataset,method,mean_rmse,std_rmse
keggdirected,SHAP/Linear,0.12159007418905803,0.0033026343679903344
keggdirected,L1/Linear,0.11880292191190889,0.0016430580061625732
keggdirected,L1,0.22322939920234364,0.11223556565092868
keggdirected,RE,0.11818387833867464,0.0020673659541319378
keggdirected,Individual Contribution,0.11839050828410631,0.0019988071780219305
keggdirected,RF,0.1357043611229509,0.0
keggdirected,MethodB_SHAP_then_Corr,0.14045558914275635,0.006164772901905981
keggdirected,MethodC_Corr_then_SHAP,0.24701985517175026,0.064578842304707
keggundirected,SHAP/Linear,0.11926607907725398,0.0007325632666218719
keggundirected,L1/Linear,0.11780560177304562,0.0004826353689294564
keggundirected,L1,0.19199248570277297,0.08529519837967622
keggundirected,RE,0.11745077317520006,0.0004221136736124148
keggundirected,Individual Contribution,0.11742920232815397,0.000428525195929241
keggundirected,RF,0.12790384670643418,0.0
keggundirected,MethodB_SHAP_then_Corr,0.13048166070141798,0.0018458137826455536
keggundirected,MethodC_Corr_then_SHAP,0.1766177317743826,0.033286310878715905
kin40k,SHAP/Linear,0.7255047902434825,0.025112773559771467
kin40k,L1/Linear,0.7540354564574135,0.026308817213200754
kin40k,L1,0.8650836776890181,0.03272483701870896
kin40k,RE,0.6154605234649095,0.013577266673977432
kin40k,Individual Contribution,0.617591922697249,0.01559503148876331
kin40k,RF,0.7637636821399927,0.0
kin40k,MethodB_SHAP_then_Corr,0.8136432795732429,0.03231887608032424
kin40k,MethodC_Corr_then_SHAP,0.8108424327707693,0.033512974276757666
solar,SHAP/Linear,0.6610205060589759,0.021074022119928974
solar,L1/Linear,0.6674796929562086,0.019669714161119338
solar,L1,0.6352896991589035,0.00750855693971647
solar,RE,0.6510403150014893,0.015840436336586636
solar,Individual Contribution,0.632968393344288,0.015943359396474555
solar,RF,0.6839408548720644,0.0
solar,MethodB_SHAP_then_Corr,0.6484353166719131,0.014275361873593979
solar,MethodC_Corr_then_SHAP,0.6493487534333504,0.011813185135345804
protein,SHAP/Linear,0.5023226551724204,0.010172754737828806
protein,L1/Linear,0.5226478344468509,0.029141299455236504
protein,L1,0.5650015265616718,0.012288456668209715
protein,RE,0.4544468247443357,0.002369269346987396
protein,Individual Contribution,0.4537100295641802,0.002390204874459792
protein,RF,0.5511114114644011,0.0
protein,MethodB_SHAP_then_Corr,0.5754988627921731,0.015173267478426376
protein,MethodC_Corr_then_SHAP,0.576285683066054,0.013191780163245851
tamielectric,SHAP/Linear,0.28972632868308,0.00035130735749044694
tamielectric,L1/Linear,0.28950620175559694,8.829186859419189e-05
tamielectric,L1,0.2894703143340637,0.00010705590445968754
tamielectric,RE,0.2894794076059569,0.00011620318202643684
tamielectric,Individual Contribution,0.2894398964400671,6.057278633373465e-05
tamielectric,RF,0.2894334255669305,5.551115123125783e-17
tamielectric,MethodB_SHAP_then_Corr,0.2894458453975559,4.941189702328569e-05
tamielectric,MethodC_Corr_then_SHAP,0.28944350962608767,4.989254926693165e-05
pol,SHAP/Linear,9.926273089940654,0.9093525466403284
pol,L1/Linear,10.552767092632335,1.9977148712882842
pol,L1,20.689559617258272,3.9808569737862616
pol,RE,7.622072598219432,0.34027298710436055
pol,Individual Contribution,7.619134763456607,0.37895278801731413
pol,RF,7.740913696885355,8.881784197001252e-16
pol,MethodB_SHAP_then_Corr,14.178460409207721,2.010830946064745
pol,MethodC_Corr_then_SHAP,13.777819387642257,2.50960778962827
slice,SHAP/Linear,4.976818794342238,1.055247330220862
slice,L1/Linear,4.8976651330140335,0.6647417759504072
slice,L1,5.439361539305461,0.9742880093355022
slice,RE,2.7192751992488198,0.26404199445327686
slice,Individual Contribution,2.7168085755985785,0.258962866241414
slice,RF,5.716493032647355,8.881784197001252e-16
slice,MethodB_SHAP_then_Corr,3.627779558975385,0.23577791911168958
slice,MethodC_Corr_then_SHAP,4.0826469699436485,0.26649944693153993
3droad,SHAP/Linear,6.422842372857033,0.09893075015549793
3droad,L1/Linear,6.351443687241855,0.22645333504861664
3droad,L1,14.660622380791912,2.546871668833437
3droad,RE,5.370751017280748,0.09081125792786894
3droad,Individual Contribution,5.370825615721874,0.08971370890691975
3droad,RF,11.313721849880768,0.0
3droad,MethodB_SHAP_then_Corr,6.8556576940589995,0.12262183541334071
3droad,MethodC_Corr_then_SHAP,6.691928145069028,0.11679700439010061
