dataset,method,mean_size
eeg,SHAP/Linear,15.8
eeg,L1/Linear,37.0
eeg,L1,58.4
eeg,corr -> SHAP,49.0
eeg,SHAP -> corr,50.0
eeg,RE,15.8
eeg,DREP,15.8
eeg,RF,200.0
elec,SHAP/Linear,19.6
elec,L1/Linear,31.6
elec,L1,36.4
elec,corr -> SHAP,44.4
elec,SHAP -> corr,49.8
elec,RE,19.6
elec,DREP,19.6
elec,RF,200.0
magic,SHAP/Linear,14.8
magic,L1/Linear,31.0
magic,L1,50.4
magic,corr -> SHAP,46.2
magic,SHAP -> corr,49.8
magic,RE,14.8
magic,DREP,14.8
magic,RF,200.0
adult,SHAP/Linear,16.0
adult,L1/Linear,28.6
adult,L1,70.4
adult,corr -> SHAP,48.0
adult,SHAP -> corr,49.8
adult,RE,16.0
adult,DREP,16.0
adult,RF,200.0
bincovtype,SHAP/Linear,9.4
bincovtype,L1/Linear,28.2
bincovtype,L1,49.2
bincovtype,corr -> SHAP,40.8
bincovtype,SHAP -> corr,43.0
bincovtype,RE,9.4
bincovtype,DREP,9.4
bincovtype,RF,200.0
bank,SHAP/Linear,22.4
bank,L1/Linear,28.6
bank,L1,38.6
bank,corr -> SHAP,48.0
bank,SHAP -> corr,50.0
bank,RE,22.4
bank,DREP,22.4
bank,RF,200.0
