dataset,method,mean_acc,std_acc
eeg,SHAP/Linear,0.8895861148197597,0.007699797519517336
eeg,L1/Linear,0.8959946595460615,0.00431388369062845
eeg,L1,0.8918558077436582,0.006074399554647429
eeg,RE,0.8949265687583445,0.006039082978851071
eeg,COMP,0.8971962616822431,0.00644460260942437
eeg,DREP,0.8483311081441924,0.01885017599084095
eeg,RF,0.8359145527369826,0.003466156204471875
elec,SHAP/Linear,0.8680494263018534,0.004689073771982176
elec,L1/Linear,0.8714033539276258,0.004240675386949785
elec,L1,0.871756398940865,0.003362047123520037
elec,RE,0.866990291262136,0.0051035309622408645
elec,COMP,0.8712709620476611,0.004176352396935933
elec,DREP,0.8603265666372462,0.00343255719022596
elec,RF,0.8062224183583406,0.0005821229460844257
magic,SHAP/Linear,0.8552050473186121,0.003094414084029878
magic,L1/Linear,0.850578338590957,0.006874430758646124
magic,L1,0.8647739221871713,0.005144954709873865
magic,RE,0.861093585699264,0.004515438602225847
magic,COMP,0.8685594111461619,0.00423230532018888
magic,DREP,0.8499474237644584,0.011931909949530431
magic,RF,0.8584647739221871,0.002139536272279251
adult,SHAP/Linear,0.8548357384095795,0.0035984243964343973
adult,L1/Linear,0.8559410500460547,0.00330340255604859
adult,L1,0.8539760515812098,0.004048154675799683
adult,RE,0.8594412035615597,0.0031990214989576064
adult,COMP,0.8592569849554806,0.0018380877552466167
adult,DREP,0.8569235492784772,0.0017797208162345227
adult,RF,0.8555112066318697,0.0015847083697345737
bank,SHAP/Linear,0.8957098628925255,0.004361808256855949
bank,L1/Linear,0.8959752321981425,0.0033526039200791357
bank,L1,0.8974347633790358,0.0018470245924654086
bank,RE,0.8963732861565678,0.0013458756350909096
bank,COMP,0.8969040247678018,0.0029912142271403693
bank,DREP,0.8973905351614329,0.002733575787768689
bank,RF,0.8858027421494914,0.0002255205446082482
