dataset,method,mean_size
eeg,SHAP/Linear,34.4
eeg,L1/Linear,31.6
eeg,L1,60.4
eeg,RE,34.4
eeg,COMP,34.4
eeg,DREP,34.4
eeg,RF,200.0
elec,SHAP/Linear,24.8
elec,L1/Linear,23.0
elec,L1,40.4
elec,RE,24.8
elec,COMP,24.8
elec,DREP,24.8
elec,RF,200.0
magic,SHAP/Linear,21.6
magic,L1/Linear,25.6
magic,L1,53.4
magic,RE,21.6
magic,COMP,21.6
magic,DREP,21.6
magic,RF,200.0
adult,SHAP/Linear,27.8
adult,L1/Linear,26.2
adult,L1,69.8
adult,RE,27.8
adult,COMP,27.8
adult,DREP,27.8
adult,RF,200.0
bank,SHAP/Linear,30.6
bank,L1/Linear,30.0
bank,L1,39.2
bank,RE,30.6
bank,COMP,30.6
bank,DREP,30.6
bank,RF,200.0
