dataset,data_type,n_samples,n_features,full_ensemble_mse,full_ensemble_r2,meta_mse,meta_mae,meta_prune_loss_final,meta_div_loss_final,created
3droad,regression,347899,3,191.3947,0.4372,86.2606,6.5892,0.9670,0.3513,2025-10-31 16:23:54
3droad,regression,347899,3,173.9795,0.4884,86.0705,6.6189,0.9667,1.5972,2025-10-31 16:26:18
3droad,regression,347899,3,168.8038,0.5036,76.2972,6.2003,1.6248,1.6248,2025-10-31 16:36:49
3droad ,regression,347899,3,171.4698,0.4958,103.8196,7.3270,2.1507,0.1187,2025-10-31 16:38:25
3droad,regression,347899,3,167.5383,0.5073,340.0695,14.5892,-0.0000,0.0000,2025-10-31 16:40:28
3droad,regression,347899,3,174.9033,0.4857,285.6687,12.9889,0.0000,0.0196,2025-10-31 16:41:21
3droad,regression,347899,3,184.4764,0.4575,125.7784,8.1523,1.7502,0.0183,2025-10-31 16:43:20
3droad,regression,347899,3,172.0595,0.4940,100.2816,7.1908,2.0950,0.0240,2025-10-31 16:44:57
3droad,regression,347899,3,162.1166,0.5233,78.8445,6.2684,0.9800,0.0226,2025-10-31 16:46:06
3droad,regression,347899,3,178.0828,0.4763,86.3822,6.5521,0.9800,0.4082,2025-10-31 16:46:48
3droad,regression,347899,3,190.1499,0.4408,83.5711,6.4904,0.9651,0.2543,2025-10-31 16:47:24
3droad,regression,347899,3,171.3854,0.4960,78.4941,6.2297,0.9658,1.8129,2025-10-31 16:48:15
